observed_electricity,predicted_electricity,residual,relative_bias,relative_bias_pct,log_bias,standardized_residual,symmetric_bias,bias_z,city,spatial_unit_id,fold_id,model_name,vulnerability_z,ntl_value
1280.0,2222.093723318992,942.093723318992,0.7360107213429625,73.60107213429626,0.5515897921078912,1.3494417163927468,0.5380174248598659,2.73537244486246,Amsterdam,BU0363AA01,1,random_forest,0.24354460669638936,39.42173767089844
1760.0,2141.6673090699287,381.6673090699287,0.21685642560791404,21.685642560791404,0.19627083301789927,0.5466948520024628,0.19564318473935174,0.646719490471455,Amsterdam,BU0363AA02,5,random_forest,-0.2305454554915496,55.437744140625
2280.0,2062.3678559058767,-217.6321440941233,-0.09545269477812425,-9.545269477812425,-0.10032067565602887,-0.31173320318276543,-0.10023662265191592,-0.6097573842002326,Amsterdam,BU0363AA03,3,random_forest,-0.8227216233756985,87.89397430419922
1370.0,1587.6650443559704,217.6650443559704,0.15887959442041635,15.887959442041636,0.14745367148933752,0.3117803290522174,0.1471870824394632,0.41346806456435653,Amsterdam,BU0363AA04,2,random_forest,1.4173607819836287,43.61568832397461
1750.0,1886.2464552291553,136.24645522915534,0.07785511727380305,7.785511727380305,0.07497306389389546,0.19515749425559564,0.07493796523787556,0.08749173159257226,Amsterdam,BU0363AA05,4,random_forest,-0.18120444271240932,69.41205596923828
1740.0,1988.5410843679022,248.54108436790216,0.14283970365971388,14.283970365971388,0.13351613321034783,0.3560067317951688,0.13331814173105042,0.3489366420168141,Amsterdam,BU0363AA06,2,random_forest,0.17607375998133476,105.6644515991211
1590.0,1627.6947269649172,37.69472696491721,0.023707375449633465,2.3707375449633465,0.02343071961591825,0.05399339343360678,0.02342964772203401,-0.13035456547894783,Amsterdam,BU0363AB01,3,random_forest,0.11225882164020377,41.20835113525391
1500.0,1790.0767049214119,290.0767049214119,0.1933844699476079,19.33844699476079,0.17679336273778556,0.41550176684720425,0.17633431128672775,0.5522875076525111,Amsterdam,BU0363AB02,2,random_forest,-0.26049461988831457,59.56299591064453
1770.0,2592.027243019796,822.0272430197961,0.4644221711976249,46.44221711976249,0.3814607422733607,1.1774601892413104,0.37690147136757135,1.642721893186531,Amsterdam,BU0363AB03,4,random_forest,-0.20161516728529894,61.159759521484375
1390.0,1671.6467059456722,281.64670594567224,0.20262352945731815,20.262352945731816,0.1845054449211352,0.4034267556190917,0.18398380544608137,0.589457938677123,Amsterdam,BU0363AB04,1,random_forest,1.0983750444053795,46.80511093139648
1570.0,2403.022573542472,833.022573542472,0.5305876264601732,53.05876264601732,0.42565173125031386,1.1932097450716503,0.4193394616430396,1.9089176556950174,Amsterdam,BU0363AB05,3,random_forest,-0.15799349524389805,62.65952682495117
1900.0,1935.1787788463685,35.17877884636846,0.01851514676124656,1.851514676124656,0.01834582821012276,0.050389584955307494,0.01834531367372153,-0.15124385384459335,Amsterdam,BU0363AB06,1,random_forest,-0.7940659181957689,57.46596908569336
1760.0,2321.7205597047423,561.7205597047423,0.31915940892314903,31.915940892314904,0.27699472232590683,0.8046005800257313,0.2752371464377636,1.0583031566373013,Amsterdam,BU0363AB07,4,random_forest,-0.5094258308670475,63.2469596862793
2110.0,2085.2342809086344,-24.765719091365554,-0.011737307626239599,-1.17373076262396,-0.011806733605489228,-0.03547406553205217,-0.011806596453536612,-0.27295502671380456,Amsterdam,BU0363AB08,5,random_forest,-0.4208738443185,97.9966049194336
1580.0,1826.2866278161123,246.2866278161123,0.1558776125418432,15.58776125418432,0.14485989314180614,0.35277748013636107,0.14460710722633177,0.4013905408469952,Amsterdam,BU0363AB09,4,random_forest,0.4229755834619095,109.26371002197266
1680.0,2147.247294408807,467.2472944088072,0.2781233895290519,27.81233895290519,0.2453929002220656,0.669278411839491,0.24416885477528708,0.8932077238381286,Amsterdam,BU0363AB10,1,random_forest,-0.25214530008541586,85.94881439208984
1690.0,1899.1009449186006,209.1009449186006,0.12372836977431988,12.372836977431987,0.1166520583642221,0.2995132342207095,0.11651995757580617,0.27204824041827896,Amsterdam,BU0363AB11,2,random_forest,0.11073803821734003,112.0478515625
2150.0,1909.229113000519,-240.77088699948104,-0.11198645906952606,-11.198645906952606,-0.11876828731065014,-0.3448768110516015,-0.11862887277210472,-0.6762757505474603,Amsterdam,BU0363AC01,2,random_forest,-0.23968915482900383,126.7574462890625
2170.0,2134.813029352999,-35.18697064700109,-0.016215193846544282,-1.6215193846544282,-0.016348098780150977,-0.05040131877460002,-0.01634773469001955,-0.29097038430652944,Amsterdam,BU0363AC02,2,random_forest,0.02147625982652065,97.34950256347656
2110.0,1979.1496813230615,-130.8503186769385,-0.06201436904120309,-6.201436904120309,-0.06402064890049974,-0.18742814462649562,-0.06399879137444602,-0.4752288665436,Amsterdam,BU0363AC03,1,random_forest,-0.016020115482037512,97.48860168457033
2310.0,2086.2213148191686,-223.77868518083142,-0.09687388968867161,-9.687388968867161,-0.10189307827162786,-0.3205374216470439,-0.1018050135130816,-0.615475111999205,Amsterdam,BU0363AC04,5,random_forest,-0.03382907944670298,100.14695739746094
1680.0,1871.4681505390042,191.46815053900423,0.11396913722559776,11.396913722559777,0.10792943665596422,0.27425626909777545,0.10782478818510323,0.23278505784821668,Amsterdam,BU0363AD02,5,random_forest,0.5706436896960771,132.02029418945312
1910.0,1834.1242195084749,-75.87578049152512,-0.0397255395243587,-3.97255395243587,-0.040536139052029796,-0.10868339415149018,-0.04053058928770585,-0.38555681720735957,Amsterdam,BU0363AD03,1,random_forest,0.5837303125286512,117.5209732055664
1990.0,1877.2224978459808,-112.7775021540192,-0.056672111635185526,-5.6672111635185525,-0.05834134908105515,-0.16154089801283614,-0.058324806610861195,-0.45373598512884167,Amsterdam,BU0363AD04,3,random_forest,0.26671089946363036,125.89656829833984
1810.0,1909.229113000519,99.22911300051896,0.054822714364927604,5.48227143649276,0.053372709551187114,0.14213437713161622,0.05336004316252787,-0.005171849885135534,Amsterdam,BU0363AD05,2,random_forest,0.17701694410200333,126.66657257080078
1670.0,1835.4347649630204,165.43476496302037,0.09906273351079065,9.906273351079065,0.09445775614975638,0.23696641603368207,0.09438758730674343,0.17281386158912537,Amsterdam,BU0363AD06,1,random_forest,0.41919817250443137,118.07167053222656
1580.0,1907.730474860881,327.73047486088103,0.2074243511777728,20.74243511777728,0.18848945545391338,0.4694364940171995,0.187933372273529,0.6087725250193875,Amsterdam,BU0363AD07,2,random_forest,0.638222754099574,109.07659912109376
2010.0,1983.4793817376287,-26.520618262371272,-0.013194337443965807,-1.3194337443965807,-0.013282156041784177,-0.0379877582685617,-0.01328196078019149,-0.2788169249171525,Amsterdam,BU0363AD08,4,random_forest,0.5315982477049851,102.7726821899414
1740.0,2225.819497055834,485.81949705583384,0.2792066075033528,27.92066075033528,0.24624004786459874,0.6958809720698085,0.24500333281254938,0.8975657084312633,Amsterdam,BU0363AE01,4,random_forest,0.4881431187931816,95.0604248046875
1790.0,1899.1009449186006,109.10094491860059,0.06095024855787742,6.0950248557877424,0.05916496744654065,0.1562746494609396,0.059147714604490385,0.019480344077963594,Amsterdam,BU0363AE02,2,random_forest,0.8841005615932163,111.58210754394533
1770.0,1984.9575956032259,214.95759560322585,0.12144496926735925,12.144496926735924,0.11461800490872509,0.3079022177756901,0.11449268873498071,0.2628617013602352,Amsterdam,BU0363AE03,1,random_forest,0.8659759550070903,92.23185729980467
1930.0,2055.166928230952,125.16692823095218,0.06485333068961253,6.485333068961253,0.06283707201510413,0.17928733658529283,0.06281640417332018,0.035183159392506935,Amsterdam,BU0363AE04,2,random_forest,0.11009999682447225,104.03263092041016
1800.0,2218.370809465646,418.37080946564583,0.23242822748091435,23.242822748091434,0.20898639195787894,0.5992684265265846,0.20822907058757967,0.7093677055674777,Amsterdam,BU0363AE05,4,random_forest,0.5586538568120816,94.23085021972656
2200.0,2264.1924525593054,64.19245255930537,0.029178387526956985,2.9178387526956984,0.028760801911295708,0.09194836056853571,0.028758819536332515,-0.10834368040550052,Amsterdam,BU0363AF01,1,random_forest,-0.6226861673825499,62.84809875488281
1810.0,1981.810469948266,171.81046994826602,0.09492291157362763,9.492291157362763,0.09068396040085958,0.24609888562300605,0.0906218658922634,0.15615859861481865,Amsterdam,BU0363AF02,5,random_forest,-0.08839369801228797,71.92475128173828
2180.0,2250.3403658707994,70.34036587079936,0.03226622287651347,3.226622287651347,0.031756601694970854,0.10075454458817722,0.03175393313464922,-0.0959207524272341,Amsterdam,BU0363AF03,4,random_forest,-0.12352307388887224,63.773868560791016
1820.0,2240.971592005774,420.9715920057738,0.23130307253064494,23.130307253064494,0.20807301716860227,0.6029937506297431,0.20732555373422334,0.7048410008279927,Amsterdam,BU0363AF04,2,random_forest,0.3752985117341198,53.55232238769531
1600.0,2274.2179556664537,674.2179556664537,0.42138622229153355,42.138622229153356,0.3516326083086172,0.9657402578928812,0.34805370445425693,1.4695803771359692,Amsterdam,BU0363AF05,3,random_forest,0.5340028890454446,76.8084716796875
1740.0,1876.3539279356671,136.35392793566712,0.07836432639980868,7.836432639980869,0.07544538050987448,0.19531143663940614,0.07540961457470087,0.0895403733050109,Amsterdam,BU0363AF06,3,random_forest,-0.10984770800395156,69.52081298828125
1730.0,2264.1924525593054,534.1924525593054,0.3087817644851476,30.87817644851476,0.2690967537658784,0.7651697089394544,0.2674845836319269,1.0165519896083126,Amsterdam,BU0363AF07,1,random_forest,-0.2562268709048368,62.87613677978516
1830.0,2198.7831974861215,368.7831974861215,0.20152087294323578,20.15208729432358,0.18358814844734628,0.5282398329109478,0.18307423329020767,0.5850217492730542,Amsterdam,BU0363AF08,4,random_forest,0.2864036667246051,86.0977783203125
1790.0,2121.0216307032315,331.0216307032315,0.18492828530906788,18.492828530906788,0.16968225402923753,0.4741506990680208,0.16927629758146404,0.5182667258285727,Amsterdam,BU0363AF09,4,random_forest,0.012626105183729294,74.34925079345703
2290.0,1975.910725667606,-314.0892743323941,-0.13715688835475726,-13.715688835475726,-0.14752239857910077,-0.4498970314359526,-0.14725543712977715,-0.7775410042914424,Amsterdam,BU0363AG01,1,random_forest,-0.15480203954568264,100.51952362060548
2100.0,2028.1522763559974,-71.8477236440026,-0.03421320173523933,-3.421320173523933,-0.03481217485877419,-0.10291366252977992,-0.0348086595814358,-0.3633796712154458,Amsterdam,BU0363AG02,5,random_forest,0.7311051110707065,96.12907409667967
1900.0,2204.364897844587,304.3648978445872,0.16019205149715116,16.019205149715116,0.1485855530499327,0.4359679721781061,0.14831278671368855,0.41874832011333984,Amsterdam,BU0363AG03,4,random_forest,0.44374885860418845,90.76349639892578
2230.0,1903.041670026826,-326.95832997317393,-0.1466180851897641,-14.661808518976411,-0.1585481003789253,-0.46833048460775295,-0.15821680789927858,-0.8156051345198803,Amsterdam,BU0363AG04,2,random_forest,-0.236277065851172,109.8102035522461
2310.0,2136.5145413840537,-173.4854586159463,-0.07510193013677328,-7.510193013677329,-0.078071742284056,-0.2484981156854778,-0.07803211121938487,-0.5278825253356023,Amsterdam,BU0363AG05,1,random_forest,-0.3638803220828481,87.08704376220703
2240.0,1945.6986788672298,-294.3013211327702,-0.13138451836284384,-13.138451836284384,-0.14085473537325477,-0.42155304731988574,-0.1406223159916598,-0.7543177010528981,Amsterdam,BU0363AG06,4,random_forest,-0.24096776486638954,71.96868133544922
1840.0,1871.4681505390042,31.468150539004228,0.01710225572771969,1.710225572771969,0.016957658450238,0.04507453348214357,0.016957252096820075,-0.15692817362322528,Amsterdam,BU0363AH01,5,random_forest,-0.5960186595862182,138.74017333984375
1900.0,1871.4681505390042,-28.531849460995772,-0.0150167628742083,-1.50167628742083,-0.015130656101263185,-0.040868617373718386,-0.015130367444263373,-0.28614887669007183,Amsterdam,BU0363AH02,5,random_forest,0.29490523385010814,134.1521453857422
1920.0,1957.4749840844574,37.474984084457446,0.019518220877321586,1.9518220877321586,0.01933018323884461,0.053678636841525865,0.01932958135811467,-0.14720830269299032,Amsterdam,BU0363AH03,5,random_forest,-0.38398878055023977,69.8529052734375
1910.0,1842.258923931503,-67.74107606849702,-0.03546653197303509,-3.546653197303509,-0.03611074736594411,-0.09703135866155432,-0.036106823884914624,-0.36842204864640454,Amsterdam,BU0363AH04,4,random_forest,-0.42640185126869645,57.74048614501953
2000.0,1871.4681505390042,-128.53184946099577,-0.06426592473049789,-6.426592473049789,-0.06642395048881333,-0.1841072021334883,-0.06639953860558091,-0.4842872880592365,Amsterdam,BU0363AH05,5,random_forest,0.468349421570592,151.05355834960938
1870.0,1871.4681505390042,1.4681505390042275,0.0007851072401092126,0.07851072401092127,0.0007847992046361441,0.0021029580542125895,0.0007847991643562287,-0.2225750548603933,Amsterdam,BU0363AH06,5,random_forest,0.2313549873524574,160.38323974609375
2310.0,1987.5752661520619,-322.4247338479381,-0.13957780686057927,-13.957780686057927,-0.15033208794234998,-0.4618366256792414,-0.15004960419768468,-0.7872808034822895,Amsterdam,BU0363AH07,5,random_forest,-0.38755065448260884,74.73131561279297
2160.0,1942.6990650046557,-217.30093499534428,-0.1006022847200668,-10.06022847200668,-0.10602994492012208,-0.31125878395707873,-0.10593072099725048,-0.6304751290681856,Amsterdam,BU0363AH08,1,random_forest,-0.5860827433560842,56.29254150390625
1750.0,1860.165522595567,110.16552259556693,0.06295172719746682,6.295172719746682,0.06104968647303277,0.15779953545909461,0.061030732195548894,0.027532659753807205,Amsterdam,BU0363AJ01,1,random_forest,-0.4166496596665883,68.76167297363281
2360.0,2181.3717562556108,-178.62824374438924,-0.07568993378999544,-7.5689933789995445,-0.07870769413995493,-0.2558645683206954,-0.07866708709690366,-0.5302481718834293,Amsterdam,BU0363AJ02,1,random_forest,-0.49818845163996495,61.7287483215332
1810.0,2128.6085292185453,318.6085292185453,0.1760268117229532,17.60268117229532,0.16214164830068434,0.4563703481765623,0.16178735553683476,0.48245446489418486,Amsterdam,BU0363AJ03,5,random_forest,-0.2919248005017338,66.10291290283203
1870.0,1728.338865757135,-141.66113424286505,-0.07575461724217382,-7.575461724217382,-0.07877767684157355,-0.2029134038441177,-0.07873696143015024,-0.5305084052757029,Amsterdam,BU0363AJ04,3,random_forest,-0.8543557647233405,59.36420822143555
1890.0,1789.9308759582336,-100.06912404176637,-0.052946626477125065,-5.2946626477125065,-0.05439982674764465,-0.14333759705892482,-0.054386415079445714,-0.43874767501401213,Amsterdam,BU0363AK02,2,random_forest,0.5400217315900383,48.85972595214844
