city,variable,tp_mean,fn_mean,fn_minus_tp,welch_t_p_value,mannwhitney_u_p_value
Amsterdam,rental_housing_pct,95.0,86.01219512195122,-8.987804878048777,0.21021833648903518,0.08987621640387392
Amsterdam,poverty_persons_pct,7.8999999999999995,8.487654320987655,0.5876543209876557,0.6577047228726489,0.8849759652587993
Amsterdam,origin_outside_europe_pct,48.806479617561536,44.79986039093603,-4.006619226625503,0.6262215536061629,0.5019945327528601
Amsterdam,social_assistance_pct,14.861767905952286,6.4714739163622275,-8.39029398959006,0.3927326057839247,0.16350035267185092
Amsterdam,unemployment_benefit_pct,1.4088808519188267,1.1862418376709956,-0.22263901424783117,0.8152387584607852,0.8300387474270172
Amsterdam,low_education_pct,20.85308056872038,26.2505071974824,5.39742662876202,,0.24805980784784176
Amsterdam,owner_occupied_pct,5.0,13.865853658536585,8.865853658536585,0.21452697574420113,0.08982727917253408
Amsterdam,avg_income_per_resident_1000eur,39.9,34.67391304347826,-5.2260869565217405,,0.19334990620394688
Amsterdam,ghsl_mean_building_height_m,0.9839282325553257,3.777525031837722,2.7935967992823962,0.0035535256700565893,0.00046572846005872223
Amsterdam,ghsl_median_building_height_m,0.6494435320297877,3.672377305786784,3.0229337737569963,0.009034120647733035,0.00046572846005872223
Amsterdam,ghsl_max_building_height_m,4.333545088768005,6.915205632768026,2.5816605440000204,0.18572737717580698,0.09787434106056764
Amsterdam,multi_family_housing_pct,94.0,97.4390243902439,3.439024390243901,0.5973777717990798,0.21984195012614094
Amsterdam,housing_density_per_ha,26.28073383942949,96.95763563068049,70.676901791251,0.012443382788306047,0.019236610306773313
Amsterdam,population_density,3761.3333333333335,16173.426829268292,12412.093495934958,0.01386485715470722,0.01437683507137795
Amsterdam,address_density,2147.6666666666665,6922.1463414634145,4774.479674796748,0.015049873072607233,0.005548243393743039
