city,model_name,bias_metric,sample_size,r2,adj_r2,vulnerability_z_coefficient,vulnerability_z_standard_error,vulnerability_z_ci_lower,vulnerability_z_ci_upper,vulnerability_z_p_value,z_ghsl_mean_building_height_m_coefficient,z_ghsl_mean_building_height_m_standard_error,z_ghsl_mean_building_height_m_ci_lower,z_ghsl_mean_building_height_m_ci_upper,z_ghsl_mean_building_height_m_p_value,z_ghsl_median_building_height_m_coefficient,z_ghsl_median_building_height_m_standard_error,z_ghsl_median_building_height_m_ci_lower,z_ghsl_median_building_height_m_ci_upper,z_ghsl_median_building_height_m_p_value,z_ghsl_max_building_height_m_coefficient,z_ghsl_max_building_height_m_standard_error,z_ghsl_max_building_height_m_ci_lower,z_ghsl_max_building_height_m_ci_upper,z_ghsl_max_building_height_m_p_value,z_multi_family_housing_pct_coefficient,z_multi_family_housing_pct_standard_error,z_multi_family_housing_pct_ci_lower,z_multi_family_housing_pct_ci_upper,z_multi_family_housing_pct_p_value,z_housing_density_per_ha_coefficient,z_housing_density_per_ha_standard_error,z_housing_density_per_ha_ci_lower,z_housing_density_per_ha_ci_upper,z_housing_density_per_ha_p_value,z_population_density_coefficient,z_population_density_standard_error,z_population_density_ci_lower,z_population_density_ci_upper,z_population_density_p_value
Amsterdam,M1_bias_vulnerability,bias_z,435,0.21770861111088924,0.21590193353839704,0.4567234392228261,0.04160598646377063,0.37494863040157145,0.5384982480440808,6.68778008928103e-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsterdam,M2_bias_urban_form,bias_z,435,0.18494361995260855,0.17351759593325267,,,,,,-0.38647416397127693,0.3931238069524679,-1.159167700459251,0.3862193725166973,0.3261209375645159,-0.03238809222397816,0.3585987516073665,-0.737221868910443,0.6724456844624865,0.9280763910580441,0.07565840714851119,0.08332365700902235,-0.08811608340325794,0.2394328977002803,0.36438585114909083,0.30252033048949917,0.05459262089713545,0.19521732680176979,0.40982333417722855,5.2524751240692914e-08,1.2042690846564987,0.18128807189464105,0.8479433701665258,1.5605947991464717,9.367672477770693e-11,-1.0103313659547923,0.17177230296853785,-1.347953626179524,-0.6727091057300607,8.18814809112888e-09
Amsterdam,M3_bias_vulnerability_urban,bias_z,435,0.3352461811777586,0.3243485775905087,0.43044871764590154,0.043808129541446174,0.34434229838808184,0.5165551369037212,1.1187691341648978e-20,-0.2652417501060579,0.35566028568589597,-0.964304549481051,0.4338210492689353,0.4562150414254439,-0.08172782236160127,0.32426897089502094,-0.7190898885455089,0.5556342438223064,0.801133625745885,0.07233482434303751,0.07533854727335175,-0.07574573982843491,0.22041538851450992,0.3375329719511675,0.05484392724808578,0.055424095846516794,-0.05409408229260224,0.1637819367887738,0.3229632133756474,1.2985100906471054,0.16419351060379844,0.9757819711986799,1.621238210095531,2.2523058617301073e-14,-1.0355140541613874,0.15533052318355428,-1.3408216601418204,-0.7302064481809545,8.116519431677088e-11
