city,model_name,bias_metric,sample_size,r2,adj_r2,vulnerability_z_coefficient,vulnerability_z_standard_error,vulnerability_z_ci_lower,vulnerability_z_ci_upper,vulnerability_z_p_value,z_ghsl_mean_building_height_m_coefficient,z_ghsl_mean_building_height_m_standard_error,z_ghsl_mean_building_height_m_ci_lower,z_ghsl_mean_building_height_m_ci_upper,z_ghsl_mean_building_height_m_p_value,z_ghsl_median_building_height_m_coefficient,z_ghsl_median_building_height_m_standard_error,z_ghsl_median_building_height_m_ci_lower,z_ghsl_median_building_height_m_ci_upper,z_ghsl_median_building_height_m_p_value,z_ghsl_max_building_height_m_coefficient,z_ghsl_max_building_height_m_standard_error,z_ghsl_max_building_height_m_ci_lower,z_ghsl_max_building_height_m_ci_upper,z_ghsl_max_building_height_m_p_value,z_flat_apartment_pct_coefficient,z_flat_apartment_pct_standard_error,z_flat_apartment_pct_ci_lower,z_flat_apartment_pct_ci_upper,z_flat_apartment_pct_p_value,z_detached_pct_coefficient,z_detached_pct_standard_error,z_detached_pct_ci_lower,z_detached_pct_ci_upper,z_detached_pct_p_value,z_semi_detached_pct_coefficient,z_semi_detached_pct_standard_error,z_semi_detached_pct_ci_lower,z_semi_detached_pct_ci_upper,z_semi_detached_pct_p_value
London,M1_bias_vulnerability,bias_z,4994,0.058168976642815506,0.05798030856922631,0.24118245508912012,0.013735649733055215,0.21425454737091593,0.2681103628073243,5.077218934376378e-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,M2_bias_urban_form,bias_z,4994,0.1530863662413644,0.15206742062224432,,,,,,0.2799313163302006,0.1032296754557966,0.07755575315152499,0.4823068795088762,0.006716194119547184,-0.30307343563704836,0.09200175539080349,-0.48343733757155855,-0.12270953370253818,0.0009938616532597516,-0.09344426948927968,0.024176729096469268,-0.1408412911801146,-0.04604724779844476,0.00011247785879228941,0.05913356945816873,0.022336685182409305,0.015343843070134928,0.10292329584620252,0.00813746360215429,-0.7483004725223391,0.035855662578869955,-0.81859334010624,-0.6780076049384383,8.428744832662972e-93,0.45169387875251577,0.03224337819825765,0.38848267719788554,0.514905080307146,9.202780841260043e-44
London,M3_bias_vulnerability_urban,bias_z,4994,0.1743451345200544,0.17318597205347608,0.1523100245165246,0.013442578278282359,0.12595665790867988,0.1786633911243693,2.116942654448769e-29,0.29475480436943935,0.10194444954696055,0.09489883946973104,0.49461076926914765,0.0038527624856954665,-0.3199860207620565,0.09086109841919014,-0.49811374205648196,-0.14185829946763107,0.00043261879454340336,-0.10249532721722579,0.023887119636926003,-0.1493245892803211,-0.05566606515413046,1.8138622785945385e-05,0.05921701649736864,0.0220567745717808,0.015976035902461584,0.10245799709227568,0.007282328887077853,-0.6756560225828204,0.035982155341926315,-0.7461968750469777,-0.6051151701186631,4.599722444298436e-76,0.4101859314756468,0.03204938235355756,0.34735504403474343,0.4730168189165502,6.332166322106694e-37
