city,variable,tp_mean,fn_mean,fn_minus_tp,welch_t_p_value,mannwhitney_u_p_value
London,rental_housing_pct,61.24785860871022,74.78249572825709,13.534637119546872,1.4026465464920034e-09,1.319575927542674e-12
London,social_rented_pct,44.15876928079082,48.09219450664491,3.933425225854087,0.08609792025293092,0.04867873122272909
London,private_rented_pct,17.089089327919393,26.690301221612188,9.601211893692795,9.245418797636249e-11,5.346459766563344e-09
London,unemployment_pct,5.626624113724037,6.3861766914447475,0.7595525777207106,0.00023695561855723962,0.00027251157646347073
London,inactive_pct,37.084705571903804,35.83826575155941,-1.246439820344392,0.07007136585417936,0.06774766346829365
London,no_qualification_pct,22.228716996264225,19.017344659160763,-3.2113723371034624,2.3857181815466713e-07,2.317853057724194e-06
London,non_white_pct,99.01662889450883,98.82705714436456,-0.18957175014426753,0.023919615293867793,0.027481065198012744
London,non_uk_born_pct,32.69927006799271,44.52966286335223,11.830392795359522,3.491530646823304e-10,3.454132205856539e-13
London,household_deprived_2plus_pct,27.97585822434713,26.826033742247123,-1.1498244821000085,0.11931956660924503,0.16960202760259002
London,bedroom_overcrowded_pct,13.513751849365576,16.412897831136036,2.8991459817704595,0.00020675534165302893,0.0006236578686202827
London,index_of_multiple_deprivation_imd_score,34.511,33.487194174757285,-1.023805825242718,0.3604840793023314,0.28294801966394123
London,education_skills_and_training_score,29.839581395348834,18.85030513176144,-10.989276263587392,1.3631280637314224e-09,4.438812958324399e-12
London,health_deprivation_and_disability_score,0.3386976744186047,0.301873786407767,-0.03682388801083769,0.5371707355190529,0.7059136534164311
London,living_environment_score,21.313930232558143,31.468775312066576,10.154845079508434,5.296037124147092e-10,6.648018134970961e-11
London,owner_occupied_pct,36.92250635880097,22.928277058149046,-13.994229300651927,3.407181142630213e-09,2.23081489949181e-12
London,employment_pct,57.28867031437216,57.775557556995835,0.48688724262367344,0.4709884764943443,0.3799599887645073
London,high_qualification_pct,32.140511312588956,43.06149686857645,10.920985555987492,3.781030404544104e-16,1.1469141306461649e-14
London,ghsl_mean_building_height_m,1.7582682334272577,3.4938039167023542,1.7355356832750966,1.634361701843031e-17,2.0672514609410652e-17
London,ghsl_median_building_height_m,1.7298615706521412,3.472261717879967,1.7424001472278259,9.907496287403471e-16,4.842421943397681e-17
London,ghsl_max_building_height_m,3.8680289623349213,5.692583920069076,1.8245549577341547,6.89985828492621e-10,1.857842544939547e-12
London,flat_apartment_pct,49.36674072500693,78.40293662185937,29.03619589685244,8.416001933752963e-11,4.3431083585200286e-14
London,detached_pct,21.036721612395365,7.424826000370651,-13.611895612024714,3.95279817321427e-11,2.0809788378766516e-16
London,semi_detached_pct,17.543638114243194,5.548380236015274,-11.995257878227921,2.100206272278218e-10,7.383022643342784e-17
London,terraced_pct,29.540203563287154,14.042654030083579,-15.497549533203575,2.5435889250610336e-07,6.038448707815164e-11
