city,observed_quintile,n,mean_observed,svi_coef,svi_se,svi_p,ci_lower,ci_upper
Tokyo,1,660,310.99322626637314,-0.0065154119689770995,0.009342958864167594,0.48582343167822284,-0.024861019782566728,0.011830195844612531
Tokyo,2,659,470.6677535641658,-0.02318396265710397,0.008931530868600697,0.009649553087766938,-0.040721749609467034,-0.005646175704740908
Tokyo,3,659,601.8002727632536,-0.03166726374979642,0.009802260608930895,0.0012969002023099918,-0.05091479933357074,-0.0124197281660221
Tokyo,4,659,762.29610994629,-0.02646332889703906,0.013379386260664594,0.04835536448033961,-0.05273484150164935,-0.00019181629242876613
Tokyo,5,659,1074.9565640135343,0.18265899103335556,0.0408789656716337,9.284215297222786e-06,0.1023898186675665,0.2629281633991446
Amsterdam,1,90,1474.4444444444443,0.16319293382235392,0.04565441784717253,0.0005723454024262331,0.07246437195630286,0.253921495688405
Amsterdam,2,87,1702.4137931034484,0.10985881187828819,0.05546343622340936,0.050853828014862046,-0.0004173583938725245,0.2201349821504489
Amsterdam,3,84,1881.904761904762,0.15863200817829945,0.05012634772552496,0.0021791793683376692,0.05891473445644496,0.25834928190015394
Amsterdam,4,87,2173.3333333333335,0.08719724191003926,0.08040724945543296,0.2812338632665927,-0.07267391169729791,0.24706839551737642
Amsterdam,5,87,3047.7011494252874,0.045489865889794014,0.10768455111811905,0.6737732514841284,-0.1686158712114859,0.2595956029910739
London,1,999,2458.8835591119105,-0.0013405448381226415,0.012769681775159443,0.9164138103137287,-0.02639908180566681,0.02371799212942153
London,2,999,2886.2307292216083,-0.008895259474711419,0.011845401929803212,0.4528622407042926,-0.032140039366627446,0.014349520417204612
London,3,998,3188.621830147894,-0.05379166901359285,0.012403635001568467,1.5930060605962026e-05,-0.07813192517545736,-0.02945141285172834
London,4,999,3511.8326951791205,-0.07422971498737721,0.013647786953159465,6.742679992122191e-08,-0.10101139834586037,-0.04744803162889405
London,5,999,4360.542472980058,0.18956467051405262,0.040949001078129335,4.153623939018303e-06,0.10920855237676273,0.2699207886513425
