city,model_name,bias_metric,standardized_beta,cluster_robust_se,ci_lower,ci_upper,p_value,n_spatial_units,n_observations,sample_level,vulnerability_definition,n,r2,rmse,mae,mean_bias,mean_relative_bias,median_abs_relative_bias
Tokyo,linear,relative_bias,0.2081502765351162,0.019069804094293125,0.17077346051030168,0.24552709255993072,9.753970832290102e-28,3296,3296,spatial_unit,vulnerability_z,79104,0.010993506608055426,368.89587992906814,280.58447871916485,0.0037874989658183006,0.37196613961547276,0.38678422874769547
Tokyo,random_forest,relative_bias,0.21266820903199102,0.019311209961540753,0.17481823750737113,0.2505181805566109,3.319726379513741e-28,3296,3296,spatial_unit,vulnerability_z,79104,-0.05404271666645144,380.83191721304433,288.61548113528744,-0.5138789890756057,0.36443262406930804,0.39265277176794167
Tokyo,gradient_boosting,relative_bias,0.21452409852690446,0.019366608781783052,0.1765655453146097,0.25248265173919926,1.6220095904152882e-28,3296,3296,spatial_unit,vulnerability_z,79104,0.019039326937482448,367.3922845676632,278.65061275990945,0.16474943439875592,0.3665242240124284,0.38344348365678704
Amsterdam,linear,relative_bias,0.5656607373443647,0.042476577743119234,0.482406644967851,0.6489148297208784,1.843594567667606e-40,435,435,spatial_unit,vulnerability_z,454,0.043204013578972966,682.8882670798731,492.011753785826,-1.9507576603943606,0.077147331070802,0.2101047841773453
Amsterdam,random_forest,relative_bias,0.46659255363849245,0.049870335889336086,0.3688466952953937,0.5643384119815912,8.272322810081378e-21,435,435,spatial_unit,vulnerability_z,454,0.21428663061753805,618.8309840072263,416.9880222279522,5.016155428121999,0.05610822619642659,0.14126910076636068
Amsterdam,gradient_boosting,relative_bias,0.46686813699600294,0.04721747246572304,0.3743218909631858,0.5594143830288201,4.711231130575672e-23,435,435,spatial_unit,vulnerability_z,454,0.19578993714278048,626.0726472157843,421.03291624981404,8.468698685904746,0.057496215966915565,0.14328783162165726
London,linear,relative_bias,0.3163495208078667,0.014499675217367072,0.28793015738182726,0.34476888423390617,1.5759849553084507e-105,4994,4994,spatial_unit,vulnerability_z,4994,0.020353815579048584,741.313479137264,513.0545213377322,0.008467620369512449,0.0419761199972629,0.12274560491956205
London,random_forest,relative_bias,0.24118245508912012,0.014790733491572628,0.21219261744563778,0.27017229273260246,8.899323729933894e-60,4994,4994,spatial_unit,vulnerability_z,4994,-0.0332942983321296,761.3411218539355,528.2355066758136,-0.11678271232227878,0.038215865830418395,0.12607587998317552
London,gradient_boosting,relative_bias,0.2571807376800553,0.014910470655885496,0.22795621519451972,0.28640526016559087,1.1517811855971692e-66,4994,4994,spatial_unit,vulnerability_z,4994,0.04532685257986202,731.8037401502975,498.1468753818917,-0.7068399662411848,0.03783564103700651,0.11948261294879528
