city,model_name,bias_metric,sample_size,r2,adj_r2,vulnerability_z_coefficient,vulnerability_z_standard_error,vulnerability_z_ci_lower,vulnerability_z_ci_upper,vulnerability_z_p_value,z_weighted_avg_height_coefficient,z_weighted_avg_height_standard_error,z_weighted_avg_height_ci_lower,z_weighted_avg_height_ci_upper,z_weighted_avg_height_p_value,z_max_height_coefficient,z_max_height_standard_error,z_max_height_ci_lower,z_max_height_ci_upper,z_max_height_p_value,z_apartment_rate_coefficient,z_apartment_rate_standard_error,z_apartment_rate_ci_lower,z_apartment_rate_ci_upper,z_apartment_rate_p_value,z_pop_density_coefficient,z_pop_density_standard_error,z_pop_density_ci_lower,z_pop_density_ci_upper,z_pop_density_p_value,z_bldg_count_coefficient,z_bldg_count_standard_error,z_bldg_count_ci_lower,z_bldg_count_ci_upper,z_bldg_count_p_value,z_roof_area_coefficient,z_roof_area_standard_error,z_roof_area_ci_lower,z_roof_area_ci_upper,z_roof_area_p_value,z_ghsl_mean_building_height_m_coefficient,z_ghsl_mean_building_height_m_standard_error,z_ghsl_mean_building_height_m_ci_lower,z_ghsl_mean_building_height_m_ci_upper,z_ghsl_mean_building_height_m_p_value,z_ghsl_median_building_height_m_coefficient,z_ghsl_median_building_height_m_standard_error,z_ghsl_median_building_height_m_ci_lower,z_ghsl_median_building_height_m_ci_upper,z_ghsl_median_building_height_m_p_value,z_ghsl_max_building_height_m_coefficient,z_ghsl_max_building_height_m_standard_error,z_ghsl_max_building_height_m_ci_lower,z_ghsl_max_building_height_m_ci_upper,z_ghsl_max_building_height_m_p_value,z_multi_family_housing_pct_coefficient,z_multi_family_housing_pct_standard_error,z_multi_family_housing_pct_ci_lower,z_multi_family_housing_pct_ci_upper,z_multi_family_housing_pct_p_value,z_housing_density_per_ha_coefficient,z_housing_density_per_ha_standard_error,z_housing_density_per_ha_ci_lower,z_housing_density_per_ha_ci_upper,z_housing_density_per_ha_p_value,z_population_density_coefficient,z_population_density_standard_error,z_population_density_ci_lower,z_population_density_ci_upper,z_population_density_p_value,z_flat_apartment_pct_coefficient,z_flat_apartment_pct_standard_error,z_flat_apartment_pct_ci_lower,z_flat_apartment_pct_ci_upper,z_flat_apartment_pct_p_value,z_detached_pct_coefficient,z_detached_pct_standard_error,z_detached_pct_ci_lower,z_detached_pct_ci_upper,z_detached_pct_p_value,z_semi_detached_pct_coefficient,z_semi_detached_pct_standard_error,z_semi_detached_pct_ci_lower,z_semi_detached_pct_ci_upper,z_semi_detached_pct_p_value
Tokyo,M1_bias_vulnerability,bias_z,3296,0.045227767132874686,0.04493791521032864,0.21266820903199113,0.017025038107040567,0.1792874819936578,0.24604893607032446,5.099671944591687e-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,M2_bias_urban_form,bias_z,3296,0.20652240368988473,0.20507489211254804,,,,,,0.2619919261588187,0.03512032711685072,0.1931320093284638,0.33085184298917364,1.1024805127493202e-13,0.03206458329160188,0.033479272698830505,-0.03357774190405723,0.09770690848726099,0.3382620956469027,0.3813115471604157,0.026856871810517723,0.3286536674931039,0.43396942682772754,1.8913058265280817e-44,-0.3523274934120806,0.03257177075533204,-0.41619049268788777,-0.2884644941362734,8.046379837978609e-27,-0.13651101603212162,0.040362787223635684,-0.21564974848223367,-0.05737228358200956,0.0007277409673526828,-0.11591384001959568,0.039868611260608554,-0.19408364881474321,-0.03774403122444814,0.0036688984478600814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,M3_bias_vulnerability_urban,bias_z,3296,0.21869417452579543,0.2170308105421216,0.12811333972295566,0.017900373630162315,0.09301633241684693,0.1632103470290644,1.0122015714145876e-12,0.26332552446193813,0.03485571429855051,0.19498442250110865,0.3316666264227676,5.407691335920757e-14,0.03442571423466198,0.03322818731215616,-0.030724318773499307,0.09957574724282327,0.30025990805572955,0.2931002071398638,0.029365837349935083,0.23552302862309743,0.35067738565663015,3.925935820835363e-23,-0.3174800317387168,0.032690529936658635,-0.3815758875980714,-0.25338417587936224,5.29526431753608e-22,-0.17638322658856664,0.040443644084760505,-0.25568050279383603,-0.09708595038329729,1.3331517732177762e-05,-0.09253895020754362,0.03970222050967738,-0.1703825277823125,-0.014695372632774734,0.019822726787641128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsterdam,M1_bias_vulnerability,bias_z,435,0.21770861111088924,0.21590193353839704,0.4567234392228261,0.04160598646377063,0.37494863040157145,0.5384982480440808,6.68778008928103e-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsterdam,M2_bias_urban_form,bias_z,435,0.18494361995260855,0.17351759593325267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38647416397127693,0.3931238069524679,-1.159167700459251,0.3862193725166973,0.3261209375645159,-0.03238809222397816,0.3585987516073665,-0.737221868910443,0.6724456844624865,0.9280763910580441,0.07565840714851119,0.08332365700902235,-0.08811608340325794,0.2394328977002803,0.36438585114909083,0.30252033048949917,0.05459262089713545,0.19521732680176979,0.40982333417722855,5.2524751240692914e-08,1.2042690846564987,0.18128807189464105,0.8479433701665258,1.5605947991464717,9.367672477770693e-11,-1.0103313659547923,0.17177230296853785,-1.347953626179524,-0.6727091057300607,8.18814809112888e-09,,,,,,,,,,,,,,,
Amsterdam,M3_bias_vulnerability_urban,bias_z,435,0.3352461811777586,0.3243485775905087,0.43044871764590154,0.043808129541446174,0.34434229838808184,0.5165551369037212,1.1187691341648978e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2652417501060579,0.35566028568589597,-0.964304549481051,0.4338210492689353,0.4562150414254439,-0.08172782236160127,0.32426897089502094,-0.7190898885455089,0.5556342438223064,0.801133625745885,0.07233482434303751,0.07533854727335175,-0.07574573982843491,0.22041538851450992,0.3375329719511675,0.05484392724808578,0.055424095846516794,-0.05409408229260224,0.1637819367887738,0.3229632133756474,1.2985100906471054,0.16419351060379844,0.9757819711986799,1.621238210095531,2.2523058617301073e-14,-1.0355140541613874,0.15533052318355428,-1.3408216601418204,-0.7302064481809545,8.116519431677088e-11,,,,,,,,,,,,,,,
London,M1_bias_vulnerability,bias_z,4994,0.058168976642815506,0.05798030856922631,0.24118245508912012,0.013735649733055215,0.21425454737091593,0.2681103628073243,5.077218934376378e-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,M2_bias_urban_form,bias_z,4994,0.1530863662413644,0.15206742062224432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2799313163302006,0.1032296754557966,0.07755575315152499,0.4823068795088762,0.006716194119547184,-0.30307343563704836,0.09200175539080349,-0.48343733757155855,-0.12270953370253818,0.0009938616532597516,-0.09344426948927968,0.024176729096469268,-0.1408412911801146,-0.04604724779844476,0.00011247785879228941,,,,,,,,,,,,,,,,0.05913356945816873,0.022336685182409305,0.015343843070134928,0.10292329584620252,0.00813746360215429,-0.7483004725223391,0.035855662578869955,-0.81859334010624,-0.6780076049384383,8.428744832662972e-93,0.45169387875251577,0.03224337819825765,0.38848267719788554,0.514905080307146,9.202780841260043e-44
London,M3_bias_vulnerability_urban,bias_z,4994,0.1743451345200544,0.17318597205347608,0.1523100245165246,0.013442578278282359,0.12595665790867988,0.1786633911243693,2.116942654448769e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29475480436943935,0.10194444954696055,0.09489883946973104,0.49461076926914765,0.0038527624856954665,-0.3199860207620565,0.09086109841919014,-0.49811374205648196,-0.14185829946763107,0.00043261879454340336,-0.10249532721722579,0.023887119636926003,-0.1493245892803211,-0.05566606515413046,1.8138622785945385e-05,,,,,,,,,,,,,,,,0.05921701649736864,0.0220567745717808,0.015976035902461584,0.10245799709227568,0.007282328887077853,-0.6756560225828204,0.035982155341926315,-0.7461968750469777,-0.6051151701186631,4.599722444298436e-76,0.4101859314756468,0.03204938235355756,0.34735504403474343,0.4730168189165502,6.332166322106694e-37
