city,model_name,bias_metric,sample_size,r2,adj_r2,vulnerability_z_coefficient,vulnerability_z_standard_error,vulnerability_z_ci_lower,vulnerability_z_ci_upper,vulnerability_z_p_value,z_weighted_avg_height_coefficient,z_weighted_avg_height_standard_error,z_weighted_avg_height_ci_lower,z_weighted_avg_height_ci_upper,z_weighted_avg_height_p_value,z_max_height_coefficient,z_max_height_standard_error,z_max_height_ci_lower,z_max_height_ci_upper,z_max_height_p_value,z_apartment_rate_coefficient,z_apartment_rate_standard_error,z_apartment_rate_ci_lower,z_apartment_rate_ci_upper,z_apartment_rate_p_value,z_pop_density_coefficient,z_pop_density_standard_error,z_pop_density_ci_lower,z_pop_density_ci_upper,z_pop_density_p_value,z_bldg_count_coefficient,z_bldg_count_standard_error,z_bldg_count_ci_lower,z_bldg_count_ci_upper,z_bldg_count_p_value,z_roof_area_coefficient,z_roof_area_standard_error,z_roof_area_ci_lower,z_roof_area_ci_upper,z_roof_area_p_value
Tokyo,M1_bias_vulnerability,bias_z,3296,0.045227767132874686,0.04493791521032864,0.21266820903199113,0.017025038107040567,0.1792874819936578,0.24604893607032446,5.099671944591687e-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,M2_bias_urban_form,bias_z,3296,0.20652240368988473,0.20507489211254804,,,,,,0.2619919261588187,0.03512032711685072,0.1931320093284638,0.33085184298917364,1.1024805127493202e-13,0.03206458329160188,0.033479272698830505,-0.03357774190405723,0.09770690848726099,0.3382620956469027,0.3813115471604157,0.026856871810517723,0.3286536674931039,0.43396942682772754,1.8913058265280817e-44,-0.3523274934120806,0.03257177075533204,-0.41619049268788777,-0.2884644941362734,8.046379837978609e-27,-0.13651101603212162,0.040362787223635684,-0.21564974848223367,-0.05737228358200956,0.0007277409673526828,-0.11591384001959568,0.039868611260608554,-0.19408364881474321,-0.03774403122444814,0.0036688984478600814
Tokyo,M3_bias_vulnerability_urban,bias_z,3296,0.21869417452579543,0.2170308105421216,0.12811333972295566,0.017900373630162315,0.09301633241684693,0.1632103470290644,1.0122015714145876e-12,0.26332552446193813,0.03485571429855051,0.19498442250110865,0.3316666264227676,5.407691335920757e-14,0.03442571423466198,0.03322818731215616,-0.030724318773499307,0.09957574724282327,0.30025990805572955,0.2931002071398638,0.029365837349935083,0.23552302862309743,0.35067738565663015,3.925935820835363e-23,-0.3174800317387168,0.032690529936658635,-0.3815758875980714,-0.25338417587936224,5.29526431753608e-22,-0.17638322658856664,0.040443644084760505,-0.25568050279383603,-0.09708595038329729,1.3331517732177762e-05,-0.09253895020754362,0.03970222050967738,-0.1703825277823125,-0.014695372632774734,0.019822726787641128
