city,variable,tp_mean,fn_mean,fn_minus_tp,welch_t_p_value,mannwhitney_u_p_value
Tokyo,aging_rate,0.3607885029681876,0.23791839983860863,-0.12287010312957897,6.758495027732542e-10,3.974657210191535e-16
Tokyo,foreign_rate,0.020906929178658478,0.04322550698293227,0.02231857780427379,1.6102685318959827e-17,8.75631403649611e-15
Tokyo,rent_home_rate,0.16342498094764427,0.1131902693175819,-0.050234711630062365,0.11241031015127927,0.4986763143743306
Tokyo,own_home_rate,0.5818245807424793,0.41086824217312123,-0.1709563385693581,5.511591622779046e-07,5.3158890741021286e-09
Tokyo,apartment_rate,0.433857481579011,0.7579101074292981,0.3240526258502871,5.404722668583822e-14,3.6878998366999675e-19
Tokyo,avg_land_price,153715.39767839914,692892.9065177522,539177.5088393531,4.589199800115137e-33,2.665427442905498e-32
Tokyo,weighted_avg_height,4.4751162619170906,11.671127359219014,7.196011097301923,7.851351563511172e-40,3.864057344367072e-25
Tokyo,max_height,7.607462686567164,46.70204081632653,39.09457812975937,4.757517282295341e-70,8.790404229784249e-30
Tokyo,apartment_rate,0.433857481579011,0.7579101074292981,0.3240526258502871,5.404722668583822e-14,3.6878998366999675e-19
Tokyo,pop_density,4809.891815656943,17134.88752902971,12324.995713372768,1.8401539069066566e-63,1.1492777592275048e-31
Tokyo,bldg_count,292.94029850746267,796.3628117913833,503.4225132839206,3.174486281603704e-48,5.844078018985451e-23
Tokyo,roof_area,37753.74660380963,93536.58765083876,55782.84104702913,5.6574454444113846e-40,1.385904942761546e-29
