observed_electricity,predicted_electricity,residual,relative_bias,relative_bias_pct,log_bias,standardized_residual,symmetric_bias,bias_z,city,spatial_unit_id,model_name,vulnerability_z,vulnerability_z_with_apartment_sensitivity,ntl_value
644.0269991999488,607.2461219475498,-36.78087725239903,0.22294815239174703,22.2948152391747,0.028056310409872037,-0.09915573771454163,0.021713568773018138,-0.2229522003136323,Tokyo,533923072,random_forest,-0.7672270904253079,-1.048214558952424,37.641666650772095
256.54647770229707,652.4392296555387,395.89275195324166,1.8300098670518226,183.00098670518227,0.9661953483317572,1.0672675805524274,0.8718563179450306,2.309466665693182,Tokyo,533923074,random_forest,-1.094432266236513,-0.6355476297155227,42.803749799728394
765.0607117200328,440.22256455155707,-324.8381471684758,-0.3488246334475431,-34.882463344754306,-0.5016289321619843,-0.8757150053623096,-0.4739010560748147,-1.1239556756126285,Tokyo,533923081,random_forest,-0.9889884372526202,-1.2285111344168758,135.30999978383383
441.16831552143475,510.0645411743864,68.89622565295171,0.31522686500788094,31.522686500788094,0.19358692464129915,0.18573390823407768,0.1842504698821117,-0.07753877242337352,Tokyo,533923083,random_forest,-0.8511966135710805,-0.44246731376552084,137.7179168065389
324.6972274337741,644.2410213407834,319.5437939070093,1.1172552344145696,111.72552344145696,0.7059525790956638,0.8614422217155339,0.6650054723306471,1.1863030298112045,Tokyo,533923171,random_forest,-0.21728368493995806,-0.966462167105081,31.386250257492065
244.44050345584583,644.9060430546302,400.46553959878446,1.872389938930328,187.2389938930328,1.0002008615575557,1.0795951313417758,0.904728524295122,2.376249473465162,Tokyo,533923172,random_forest,-0.35892626730800253,0.07525618757981718,44.4883337020874
761.9619379105092,676.2756440423179,-85.68629386819107,0.01979452436948037,1.979452436948037,-0.061887328697380485,-0.23099741809370045,-0.05951389587679393,-0.5430830799234044,Tokyo,533923173,random_forest,-0.7295914368584739,-0.591995211715711,26.40291666984558
857.2640420716581,713.1574432797288,-144.10659879192937,0.048017466315413905,4.80174663154139,-0.09010066888771899,-0.38848981264619614,-0.08701547102058414,-0.49860917454310305,Tokyo,533923183,random_forest,-0.6838352417854535,-0.9642399342312309,28.37333345413208
164.8522661775871,692.0878905597914,527.2356243822043,3.588079500906639,358.80795009066384,1.4574884469769886,1.4213482980913568,1.2180532100448012,5.079844845892284,Tokyo,533923262,random_forest,-1.0037205481879239,-1.5438108027343973,21.52999985218048
1159.7318848455957,740.1201687276629,-419.61171611793276,-0.26823151684412105,-26.823151684412107,-0.39215200424581775,-1.1312103563985725,-0.3727812038385363,-0.9969564900213255,Tokyo,533923264,random_forest,-1.3707174288304234,-1.6457057806581878,18.363749941190083
673.9562610407066,673.3584872747659,-0.5977737659406918,0.3575395979243967,35.75395979243967,0.11133197461676929,-0.0016115085657556621,0.09473437441396255,-0.01086207784929046,Tokyo,533923271,random_forest,-0.5550526196154486,-0.40558505384972565,22.33875000476837
1105.4004110133394,645.7139696436585,-459.6864413696808,-0.37484081270295794,-37.484081270295796,-0.5079135015250913,-1.2392458151174226,-0.4890403094237667,-1.1649521492183503,Tokyo,533923272,random_forest,-1.2605773623211216,-0.6798735343345121,25.96083339055379
992.4054615180889,717.7957292573207,-274.6097322607681,-0.19826884826700528,-19.826884826700525,-0.2784681863707125,-0.7403067196863343,-0.2690097308259345,-0.8867088372991982,Tokyo,533923273,random_forest,1.10470105206721,0.7122279685245685,22.197500069936115
720.2691272406904,725.3882437527085,5.119116512018086,0.1738100621164984,17.381006211649844,0.06613821643116631,0.013800371609209985,0.06231130924610013,-0.3003843397998913,Tokyo,533923274,random_forest,-0.7483863315036661,-0.5900210157347875,23.789583524068195
1228.4744437039833,713.3641797487866,-515.1102639551966,-0.3812585629124885,-38.12585629124885,-0.5194801858945088,-1.3886601419621758,-0.4991500218884329,-1.1750652839907583,Tokyo,533923281,random_forest,-0.42711467852201823,-0.7209639059163521,22.4983332157135
1450.7770216267636,702.9964555388598,-747.7805660879036,-0.4611160120208568,-46.11160120208567,-0.6761640975291119,-2.0159044377933495,-0.6361574214285776,-1.3009051997005212,Tokyo,533923283,random_forest,-0.7290277315438745,-1.2979729289668447,20.219583471616108
872.0560543096827,664.2972517174134,-207.75880259226938,-0.1071145838767691,-10.711458387676911,-0.21149904540580103,-0.5600866231754339,-0.19897168087721742,-0.743067322631148,Tokyo,533923284,random_forest,-0.9895174952894517,-1.575971999814489,21.078750093777973
720.2938731571235,680.7327299513325,-39.56114320579096,0.08802545161307675,8.802545161307675,0.0026189740994223554,-0.10665091842378426,0.0017057851585278634,-0.4355643170653334,Tokyo,533923362,random_forest,-0.17129658352174376,-0.5896859356452981,20.948333263397217
953.8741986102283,684.7648692471806,-269.1093293630477,-0.21885783276663928,-21.88578327666393,-0.29899824154500626,-0.7254784570729106,-0.28782613869081936,-0.9191531002065649,Tokyo,533923364,random_forest,1.9599136160612358,1.6198548423768317,23.455833435058594
872.1025015669969,678.2499818944817,-193.85251967251506,-0.14797315666293273,-14.797315666293272,-0.21582813600448567,-0.5225973666709433,-0.2087084796515415,-0.8074525417038826,Tokyo,533923371,random_forest,-0.2706989005270767,-0.6691473512232482,21.32000009218852
831.7220332159189,690.5431646737569,-141.17886854216206,-0.048903646915675066,-4.890364691567506,-0.12955168756841332,-0.38059709027438476,-0.12482070193108913,-0.6513381291450169,Tokyo,533923372,random_forest,0.031591292393176346,-0.18174313348978566,20.831249952316284
900.4901917617899,654.6472902785738,-245.8429014832162,-0.1652186732086594,-16.52186732086594,-0.25884131481296596,-0.6627556512905552,-0.24775132678933956,-0.8346281448907636,Tokyo,533923373,random_forest,1.1849429851642084,0.7046467492336034,22.378333409627277
811.23524123806,711.5899838543165,-99.6452573837433,-0.003478690707537861,-0.34786907075378615,-0.07333743286447574,-0.2686286935963714,-0.07068927910934253,-0.5797571717744082,Tokyo,533923374,random_forest,-0.6440689004743989,-0.8455083532111017,26.06375002861023
1141.171768884519,700.1259598153524,-441.0458090691665,-0.33354153081327415,-33.35415308132742,-0.44889986979718915,-1.188993461576767,-0.43213456179058096,-1.0998724577193273,Tokyo,533923381,random_forest,-0.8729570865455304,-1.0187750053811964,20.866666793823242
1003.4010996146512,685.4636143233225,-317.93748529132864,-0.2467597322628097,-24.675973226280973,-0.33793636796342863,-0.8571118542071124,-0.3270282001619879,-0.9631211046938563,Tokyo,533923382,random_forest,-0.3965207327537694,-1.130131852490499,20.958333214124043
728.9810193634462,755.9219605163838,26.940941152937693,0.1860379197917296,18.603791979172957,0.08770323023605142,0.0726287433660749,0.0835729234842249,-0.28111559785605655,Tokyo,533923383,random_forest,-0.18277242315984243,-0.43405391761686385,23.729166587193806
575.6255564085757,673.0675944767996,97.44203806822405,0.2870182161707315,28.701821617073147,0.1978284464969681,0.2626891442191746,0.1918518779313497,-0.12199015462487696,Tokyo,533923384,random_forest,-0.5638105754136208,-1.220027636125529,20.330833156903584
1130.8748648796281,659.7168941627564,-471.15797071687183,-0.3522327938028131,-35.223279380281305,-0.5056981625504962,-1.2701713405563393,-0.4789999839859023,-1.1293262780626334,Tokyo,533923461,random_forest,0.08433230145169068,-0.14191619068237757,42.45375029246012
830.1894877708037,668.8244720074775,-161.36501576332603,-0.12346258348366136,-12.346258348366137,-0.1826011078371332,-0.43501592062455824,-0.177045198630342,-0.7688286124735377,Tokyo,533923462,random_forest,-0.313274612777816,-0.3907329914513802,28.600833415985107
