city,svi_decile,n,svi_mean,mean_standardized_residual,ci95_low,ci95_high
Tokyo,1,330,-1.2850953235862546,-0.31502660208359107,-0.4328479232767522,-0.19720528089042993
Tokyo,2,330,-0.8192611485739686,-0.12617984816763023,-0.20840978160007412,-0.043949914735186335
Tokyo,3,329,-0.6074554428910608,-0.044203688482297214,-0.11826323593660704,0.029855858972012615
Tokyo,4,330,-0.4212600870304417,-0.08535451376647321,-0.16325525543539418,-0.0074537720975522415
Tokyo,5,329,-0.25893307542179494,-0.03495511542692215,-0.11399405383947786,0.04408382298563355
Tokyo,6,330,-0.09812272874767601,0.004243152045347903,-0.06692711221256811,0.07541341630326392
Tokyo,7,329,0.08977575048701933,-0.02437893164906472,-0.09738419899034573,0.04862633569221628
Tokyo,8,330,0.3530480721119469,0.1192054388643649,0.054630834211219725,0.18378004351751007
Tokyo,9,329,0.7990657056293143,0.17430585185385278,0.10664321123310604,0.2419684924745995
Tokyo,10,330,2.248306317228381,0.31872208956697295,0.24893361030793817,0.38851056882600776
Amsterdam,1,44,-1.697699897593151,-0.8669690275009,-1.1810649371118407,-0.5528731178899594
Amsterdam,2,43,-0.9167446952529419,-0.10009699674785598,-0.3758030592262045,0.1756090657304925
Amsterdam,3,44,-0.6459782754808052,-0.15970087458023619,-0.3452821913846723,0.025880442224199912
Amsterdam,4,43,-0.40406932024892056,-0.04790129517870742,-0.21852490358847,0.12272231323105515
Amsterdam,5,44,-0.18281049001958014,0.25397176925753384,0.08958079321912807,0.41836274529593964
Amsterdam,6,43,0.07375293224370823,0.09641550439132082,-0.09843245656371982,0.2912634653463615
Amsterdam,7,43,0.3182825050003391,0.2646857423648517,0.110063105549946,0.4193083791797574
Amsterdam,8,44,0.6031071411533637,0.4026649590710214,0.2230398625755202,0.5822900555665226
Amsterdam,9,43,0.9972723118412049,0.3407482171585278,0.11884479319290805,0.5626516411241476
Amsterdam,10,44,1.8564444641200417,0.448396829673632,0.20535345019495108,0.6914402091523129
London,1,500,-1.5863956824645646,-0.5750455357891617,-0.7098738192844849,-0.44021725229383857
London,2,499,-1.1003649168621017,-0.35471540228986725,-0.4659802916605028,-0.2434505129192317
London,3,499,-0.7893133322723611,-0.12524785323961804,-0.21406327677718745,-0.03643242970204863
London,4,500,-0.5183941048919416,-0.035312584988436306,-0.11830015845042227,0.047674988473549666
London,5,499,-0.21523693777872274,0.0566300516695419,-0.017382475457656636,0.13064257879674043
London,6,499,0.10553606796010717,0.12708134421130818,0.05846121524327909,0.19570147317933728
London,7,500,0.44241459010743944,0.14670833699175834,0.08265370322185416,0.2107629707616625
London,8,499,0.7850402274932394,0.11804794733885247,0.047523559809845906,0.18857233486785904
London,9,499,1.1544035385499283,0.33538603008209045,0.2688555495299619,0.401916510634219
London,10,500,1.7221906794531578,0.30522466736498627,0.2349085414813379,0.37554079324863465
