vulnerability_z,standardized_residual,svi_decile,city
-0.7672270904253079,-0.0991557377145416,2,Tokyo
-1.094432266236513,1.0672675805524274,1,Tokyo
-0.9889884372526202,-0.8757150053623096,1,Tokyo
-0.8511966135710805,0.1857339082340776,2,Tokyo
-0.217283684939958,0.8614422217155339,5,Tokyo
-0.3589262673080025,1.0795951313417758,4,Tokyo
-0.7295914368584739,-0.2309974180937004,2,Tokyo
-0.6838352417854535,-0.3884898126461961,3,Tokyo
-1.003720548187924,1.4213482980913568,1,Tokyo
-1.3707174288304234,-1.1312103563985725,1,Tokyo
-0.5550526196154486,-0.0016115085657556,3,Tokyo
-1.2605773623211216,-1.2392458151174226,1,Tokyo
1.10470105206721,-0.7403067196863343,9,Tokyo
-0.7483863315036661,0.0138003716092099,2,Tokyo
-0.4271146785220182,-1.3886601419621758,4,Tokyo
-0.7290277315438745,-2.015904437793349,2,Tokyo
-0.9895174952894517,-0.5600866231754339,1,Tokyo
-0.1712965835217437,-0.1066509184237842,6,Tokyo
1.959913616061236,-0.7254784570729106,10,Tokyo
-0.2706989005270767,-0.5225973666709433,5,Tokyo
0.0315912923931763,-0.3805970902743847,7,Tokyo
1.1849429851642084,-0.6627556512905552,10,Tokyo
-0.6440689004743989,-0.2686286935963714,3,Tokyo
-0.8729570865455304,-1.188993461576767,2,Tokyo
-0.3965207327537694,-0.8571118542071124,4,Tokyo
-0.1827724231598424,0.0726287433660749,5,Tokyo
-0.5638105754136208,0.2626891442191746,3,Tokyo
0.0843323014516906,-1.2701713405563393,7,Tokyo
-0.313274612777816,-0.4350159206245582,5,Tokyo
-0.0748661499344326,0.0293234262440733,6,Tokyo
0.6412042151815472,-1.1863827785173828,9,Tokyo
1.24942294020574,0.2402158705150685,10,Tokyo
0.5486933763935604,0.3663304429895673,9,Tokyo
-0.8932781985281572,-0.7888388852283669,2,Tokyo
0.5288862184427702,0.0810039970394574,9,Tokyo
-0.0954773613110194,-0.0297812440856507,6,Tokyo
-0.7178364231401362,1.0804695459186129,2,Tokyo
2.106392149061337,1.0749835722037728,10,Tokyo
-1.6424568217034032,1.0923885503046602,1,Tokyo
0.855542639151255,0.0657408572229686,9,Tokyo
0.4507117529582871,0.6634516821787022,8,Tokyo
-0.4880727083039258,0.7339589129574157,4,Tokyo
0.0878669676906759,0.2131314531646815,7,Tokyo
-0.6412330415985392,-0.9341460630195232,3,Tokyo
0.1394393642936988,-0.1770765218256507,7,Tokyo
2.5121258655839527,-0.0958707775293295,10,Tokyo
-0.8652786762532623,-1.014665265538063,2,Tokyo
1.2605842662958373,0.0344015298032647,10,Tokyo
-1.3156626643754776,-1.20328103122813,1,Tokyo
-0.768255979010951,-0.6548467997560075,2,Tokyo
-0.920406223290259,0.3557396314483966,2,Tokyo
-0.8358379704692397,-0.1594456318838496,2,Tokyo
1.619268118286154,0.8660598606615246,10,Tokyo
0.2779746766180522,-1.000596351575325,8,Tokyo
3.997846642190084,0.2267270503693205,10,Tokyo
1.0323081593705823,-0.1405399475539801,9,Tokyo
-0.1160156089044266,-0.6448082274919583,6,Tokyo
0.2606090661156766,-0.671219176971651,8,Tokyo
-0.1989447330536101,0.6859796042970396,5,Tokyo
0.3669294682543293,-0.4185068683147921,8,Tokyo
-0.5208322501764118,-1.1910460530350098,3,Tokyo
1.0740018590798428,-0.5542762502810336,9,Tokyo
1.8419217316283008,0.4374569717891906,10,Tokyo
-0.3093918971662682,-0.7111805208660266,5,Tokyo
-1.3585907431166564,0.3161535266225344,1,Tokyo
-1.2677569326402314,0.2653482983441091,1,Tokyo
-1.299155384952046,0.5939480729604087,1,Tokyo
-0.7771877236443354,0.5128053092420386,2,Tokyo
-0.8763891777836519,-1.4872474294549798,2,Tokyo
-0.1710863439884366,-0.9809462823633374,6,Tokyo
1.0578002549940309,0.2446341919063232,9,Tokyo
-0.438046092665498,-0.1139999681727209,4,Tokyo
-0.3355825026380329,-0.6410704900827222,5,Tokyo
-0.8000966007761677,-1.856053062138472,2,Tokyo
4.257570135807921,0.7207029911763464,10,Tokyo
5.4014673505779385,1.295545774686666,10,Tokyo
-1.1784977925550126,-0.5317223402602972,1,Tokyo
-0.5664771790069886,0.2062987722425967,3,Tokyo
-0.5359731519654474,0.5051588259892557,3,Tokyo
1.0107989951472347,-0.5827211254825783,9,Tokyo
0.0528403245062145,-0.1410203470582259,7,Tokyo
-0.5802057368212431,-0.3495569620433512,3,Tokyo
0.1505963918964026,-0.3337544133189288,7,Tokyo
-0.6559155758397764,-0.5879650811327073,3,Tokyo
-0.6733484580378819,-0.1182799439327493,3,Tokyo
-0.1733862936081797,0.628464013859835,6,Tokyo
-0.3627676035218165,0.2957041882621845,4,Tokyo
-0.988273973085242,0.8920180273442999,1,Tokyo
-0.7996962340329021,-0.8612695974266374,2,Tokyo
-1.2159941651738493,-1.3161474420434571,1,Tokyo
-1.0389478870310171,-0.977125337354516,1,Tokyo
0.508568555027254,0.314201313375075,8,Tokyo
2.267687864441375,-0.2178573722360681,10,Tokyo
-1.6298242938005774,-1.2446950025735737,1,Tokyo
6.230166281577792,0.9177965776234994,10,Tokyo
1.4511848875287905,0.7851576225862996,10,Tokyo
4.276434404214911,1.0770010751927923,10,Tokyo
1.1760805820284843,-0.5880644036867564,10,Tokyo
0.0553701891290037,1.0449191267927185,7,Tokyo
-0.3328000943875379,0.2792937320998878,5,Tokyo
2.417426474980798,0.4626908489717815,10,Tokyo
-0.6543339438946388,-0.3914107321858834,3,Tokyo
-0.2889438491394975,0.9770344862862927,5,Tokyo
-1.134770549649562,-0.4428399072204397,1,Tokyo
-1.4181734822104677,1.0916007229102518,1,Tokyo
-0.6911401519762275,1.07238907971759,3,Tokyo
0.1289553889717527,0.9097639780989142,7,Tokyo
-0.8260450484038658,0.232571673944797,2,Tokyo
-0.0917041510239661,0.5142321476080314,6,Tokyo
-1.0602859282166477,-0.8266579444286859,1,Tokyo
1.5491745655346272,0.8623490970647504,10,Tokyo
-0.3833865243234781,-0.9414012117477564,4,Tokyo
0.1328134207229222,0.3836293823583522,7,Tokyo
-0.746625317269985,-0.4899082779630573,2,Tokyo
-1.166789497698423,-1.824216101622712,1,Tokyo
-1.058171556943503,0.5363427407738323,1,Tokyo
-0.1343208010387059,-1.5953488959012148,6,Tokyo
0.8430306077501228,-0.9485076752771722,9,Tokyo
-0.4381974022718191,0.8287998448080914,4,Tokyo
-0.8778758184384082,0.9836189724214136,2,Tokyo
-0.8777997889602421,0.9569453087210024,2,Tokyo
-0.3029681813500349,1.160382699367056,5,Tokyo
-0.6944368723794563,-0.2930194527720932,3,Tokyo
-1.51238496277472,-0.854549215158856,1,Tokyo
-1.7485823480484677,-0.6030288901815912,1,Tokyo
-0.8166666041156313,-0.6857270013978195,2,Tokyo
-1.0375643610681056,-0.0729650586100306,1,Tokyo
-1.101338259634541,-1.0700866602239412,1,Tokyo
-1.2025626128647549,0.1173598283629553,1,Tokyo
-0.6121873769142973,-0.1594273075297793,3,Tokyo
-0.2723488468968197,1.088750707123109,5,Tokyo
-0.4871148285556755,0.6973281675793027,4,Tokyo
-0.7410288441479184,-0.797229402540831,2,Tokyo
-0.8251857825598464,0.5650549337251122,2,Tokyo
-0.1623154610369908,0.2561081045791334,6,Tokyo
-1.1573057883899842,0.6647202676384101,1,Tokyo
-0.4698809265058912,0.5722668441772113,4,Tokyo
0.0888073610347328,0.8747495503014234,7,Tokyo
0.2390743407730345,1.0749726016856396,8,Tokyo
-0.1944960733461572,1.4168960815567555,5,Tokyo
-0.4867067869980183,0.59220337832054,4,Tokyo
0.3814422482882128,0.3234074757407698,8,Tokyo
0.1582584050802149,0.5398222561269733,7,Tokyo
-0.036919019810031,0.7251040232127912,6,Tokyo
0.675221019754605,0.0559161194873807,9,Tokyo
0.0177924456587424,1.4208179411603172,7,Tokyo
0.2386553584578905,0.181252221134305,8,Tokyo
0.4500400207834966,-0.188156710569939,8,Tokyo
-0.5018344036981234,0.6624829789278596,4,Tokyo
0.2221256638725921,-0.2865403857966634,8,Tokyo
0.3633551347754216,-0.2222406421535527,8,Tokyo
0.6970511321515641,0.862343667792738,9,Tokyo
1.0678059746983863,0.4666258735765982,9,Tokyo
0.0657453334871872,0.041757200621733,7,Tokyo
0.4499241093429837,0.7512030621876143,8,Tokyo
0.2700500022810248,0.1973020773581978,8,Tokyo
0.3360708644343584,-0.2906002852919578,8,Tokyo
-0.3462709798712218,0.8284624776972046,4,Tokyo
1.194084223299521,0.619587368258884,10,Tokyo
-0.016162864098764,0.1394919027462318,6,Tokyo
-0.212698973546782,0.3686938823501932,5,Tokyo
0.1566113512830306,0.1743989631844789,7,Tokyo
0.5483349823593119,-0.5661274893613047,9,Tokyo
0.7218131083752737,-0.0028463274160726,9,Tokyo
0.0020292179322813,-0.0636735324659769,7,Tokyo
0.9747302757905636,0.3749844304387464,9,Tokyo
1.3643573731771468,0.4750111323590884,10,Tokyo
0.5804456242225298,0.1610187914233212,9,Tokyo
0.3411312856990955,0.1358441557635551,8,Tokyo
-0.060510149493803,0.6734574662914556,6,Tokyo
0.3017467461525938,0.347016391596783,8,Tokyo
0.466225627746872,0.4995134580825988,8,Tokyo
0.022186946756797,0.4148929439332605,7,Tokyo
0.8325098244181197,0.4273559919928791,9,Tokyo
-0.020734312551704,1.2369949122724315,6,Tokyo
-0.1462801401252908,0.7788641266139917,6,Tokyo
-0.0730816280916854,0.7516258752180094,6,Tokyo
-0.1388786065184378,0.1515528804584609,6,Tokyo
-0.1287502028510361,0.1500495453330315,6,Tokyo
0.0979291749168235,-0.1796609768783857,7,Tokyo
-0.5644249351881837,0.0489373230668395,3,Tokyo
-0.3606218308438998,0.2850450155093878,4,Tokyo
0.2518431078066623,-0.5402853415997209,8,Tokyo
0.3694523439152311,0.1594458670644392,8,Tokyo
-0.0746662416638955,0.0141760335578536,6,Tokyo
0.326866934208177,0.4098392875698924,8,Tokyo
0.8259420283109578,0.1142002798917633,9,Tokyo
0.8447777522870948,0.3821543641569664,9,Tokyo
0.2049122259589088,0.0375735466126255,7,Tokyo
0.4602048281927384,0.7575025157646728,8,Tokyo
0.6002373467585908,0.2966288049738102,9,Tokyo
0.0934904041128968,0.2836991983927888,7,Tokyo
1.056975473089152,-0.1221189206617962,9,Tokyo
0.0594219757369,-0.1074742435589425,7,Tokyo
0.2623375642243464,-0.050800957707881,8,Tokyo
0.0808352595316775,1.0719222171305218,7,Tokyo
-0.2774340837413672,0.4828190601042247,5,Tokyo
-0.6465756357840804,-0.5782025323922126,3,Tokyo
-0.3481905551211518,0.0959963535203809,4,Tokyo
-0.3072264726444994,-0.6381771745179138,5,Tokyo
-0.4026792448702485,-1.0398502753485996,4,Tokyo
-0.1517593990475016,-0.7071380966910418,6,Tokyo
-0.2895353366686192,-1.1510641883041943,5,Tokyo
-0.5856176643560475,0.540199335044326,3,Tokyo
-0.299422435316326,-0.2304186436482108,5,Tokyo
-0.0358185512639158,0.3120588643935714,6,Tokyo
-0.4051633043745516,0.8618628568129648,4,Tokyo
-0.9708303511496398,-0.1272966395738224,1,Tokyo
-0.0243395008391522,-0.7874650022631736,6,Tokyo
-0.2627746266295821,0.4643940774871737,5,Tokyo
-0.3359388152720458,0.4744319543663804,5,Tokyo
