city,role,unit_id,ntl,observed,predicted,svi,svi_component_count,height,apartment,pop_density,lon,lat,bias,relative_bias,log_bias,standardized_residual,z_ntl,z_svi,z_height,z_apartment,z_pop_density,actual_vulnerable_low_energy,ntl_detected_low_energy,missed,missed_label,threshold,z_ntl_x_z_svi,z_ntl_x_z_height,z_ntl_x_z_apartment,z_svi_x_z_height,z_svi_x_z_apartment,z_svi_x_z_pop_density
Amsterdam,calibration,BU0363AA01,39.42173767089844,1280.0,2120.59557881398,0.33942643066099276,9,4.096710784094674,99.0,18872.0,,,840.59557881398,0.6567152959484218,0.5048369047008165,1.2040572106463412,-0.02903553062329636,0.3394264306609926,0.4760765472608063,0.6044658545976079,0.7946387378794633,False,False,False,0,0.25,-0.009855426521813428,-0.013823135167024337,-0.01755098683190585,0.16159296315814484,0.2051716874825126,0.2697213904633823
Amsterdam,calibration,BU0363AA02,55.437744140625,1760.0,2114.253665424401,-0.3281798473228927,9,5.430905785825518,97.0,19014.0,,,354.2536654244009,0.2012804917184096,0.18338806430459265,0.5074279368135222,0.5538292928343735,-0.3281798473228925,1.2057056133724402,0.5377968265169895,0.8120852976610675,False,False,False,0,0.25,-0.18175561276533023,0.6677550872204931,0.29784763611847453,-0.3956882841129219,-0.1764940804170817,-0.2665100289995749
Amsterdam,calibration,BU0363AA03,87.89397430419922,2280.0,2074.9388085002875,-0.6693419258778046,9,2.9596861167728874,100.0,11861.0,,,-205.06119149971255,-0.0899391190788213,-0.09424377959790231,-0.29372674859570985,1.7349973262109337,-0.6693419258778043,-0.1457262964671671,0.6378003686379172,-0.06675443556298238,False,False,False,0,0.25,-1.1613064517188674,-0.25283473472915674,1.1065819342431342,0.09754071992837349,-0.426906527069677,0.044681542460612414
Amsterdam,calibration,BU0363AA04,43.61568832397461,1370.0,1609.9614225616117,1.0656932467799918,9,3.969659775495529,100.0,12706.0,,,239.9614225616117,0.17515432303767278,0.16139947772740904,0.34371734564666384,0.12359342289367589,1.0656932467799913,0.40659636735271476,0.6378003686379172,0.03706488144726817,True,True,False,0,0.25,0.13171267612421397,0.05025263677725647,0.07882793068280848,0.43330700285306467,0.6796995456512174,0.039499793851054676
Amsterdam,calibration,BU0363AA05,69.41205596923828,1750.0,2030.8054769562707,-0.18737711026305903,9,4.722507469581835,97.0,22033.0,,,280.8054769562707,0.1604602725464404,0.14881671309722222,0.402221791120084,1.062391449844177,-0.18737711026305892,0.8183049701041006,0.5377968265169895,1.183008987665738,False,False,False,0,0.25,-0.1990678398399834,0.8693602036035915,0.5713507502449818,-0.1533316206120052,-0.1007708152613971,-0.22166880552403267
Amsterdam,calibration,BU0363AA06,105.6644515991211,1740.0,1997.2278676665503,0.10012695025411505,9,4.656773710250855,95.0,16318.0,,,257.2278676665503,0.14783210785433926,0.137875039688522,0.3684495572533005,2.381711982004901,0.10012695025411504,0.7823572552869636,0.4711277984363709,0.4808463880046942,False,False,False,0,0.25,0.23847355714183446,1.8633496491254287,1.1220907225914944,0.07833504598106379,0.04717258963736925,0.04814568237161691
Amsterdam,calibration,BU0363AB01,41.20835113525391,1590.0,1596.6830830492404,0.11770779397433717,9,5.241705481822674,100.0,26740.0,,,6.683083049240395,0.004203196886314714,0.0041943881289494556,0.00957275357805202,0.03598405734059569,0.11770779397433714,1.1022379486468596,0.6378003686379172,1.7613255854968022,False,True,False,0,0.25,0.004235604007807572,0.039662993547089166,0.022950645036919883,0.12974199737002057,0.07507407438838824,0.20732174913938634
Amsterdam,calibration,BU0363AB02,59.56299591064453,1500.0,1839.9330626160825,-0.33577771051328914,9,6.042283419406775,96.0,27752.0,,,339.93306261608245,0.22662204174405498,0.204264083837999,0.48691530802181904,0.7039581123497621,-0.335777710513289,1.5400487125841285,0.5044623124766802,1.8856630397149956,False,False,False,0,0.25,-0.23637344326205978,1.0841297846374045,0.3551203372426796,-0.5171140307904368,-0.16938720032365903,-0.6331636182750303
Amsterdam,calibration,BU0363AB03,61.159759521484375,1770.0,2350.448178974524,-0.30002899080047607,9,6.104388298526887,93.0,22280.0,,,580.4481789745241,0.32793682427939214,0.2836264778438844,0.8314257568269647,0.7620685621610181,-0.30002899080047596,1.5740119075403365,0.40445877035575245,1.213356172637965,False,False,False,0,0.25,-0.22864266162594005,1.1995049912035856,0.3082253135784217,-0.47224920412725924,-0.12134935669023787,-0.3640420279580967
Amsterdam,calibration,BU0363AB04,46.80511093139648,1390.0,1703.2663161220714,0.9717156345062127,9,4.184578617413838,100.0,27039.0,,,313.26631612207143,0.2253714504475334,0.20324402288845445,0.44871823774232206,0.23966494475030928,0.9717156345062122,0.5241286873773137,0.6378003686379172,1.7980616515158139,True,True,False,0,0.25,0.23288617385694307,0.125615272902336,0.15285839011133331,0.5093040400177545,0.6197605898992898,1.747204618583977
